iter	Logloss
128	0.5407934909
129	0.5406199137
130	0.5403155178
131	0.5400398763
132	0.5397979736
133	0.5396152072
134	0.5395226373
135	0.5392509969
136	0.5390026516
137	0.5388476223
138	0.5386248779
139	0.5384105428
140	0.5380600993
141	0.5378545125
142	0.5377259996
143	0.537598877
144	0.5373799642
145	0.5371805827
146	0.5370855374
147	0.5368877496
148	0.5367195299
149	0.5366506619
150	0.5365100776
151	0.5363136122
152	0.5361757406
153	0.5355186971
154	0.5353750949
155	0.5351574368
156	0.5350024753
157	0.5348304579
158	0.5346510824
159	0.5345261637
160	0.5341021389
161	0.5338283285
162	0.5337026638
163	0.5334565565
164	0.5332083469
165	0.5330043538
166	0.5328388129
167	0.5327492269
168	0.5325487264
169	0.5323215739
170	0.5321837701
171	0.531952379
172	0.5317973836
173	0.5315782335
174	0.5314190335
175	0.531271091
176	0.5309465196
177	0.530746799
178	0.5306299845
179	0.530413581
180	0.5302767605
181	0.5301264784
182	0.5300666979
183	0.5299483236
184	0.5298591105
185	0.5296977403
186	0.5295638021
187	0.5294444105
188	0.5292332967
189	0.5291421848
190	0.5289940728
191	0.5288496229
192	0.5285548231
193	0.5283737522
194	0.5282299127
195	0.5281125217
196	0.5279957072
197	0.5277841865
198	0.5275852119
199	0.5274330309
200	0.527297092
201	0.5271634928
202	0.5269796075
203	0.5268385484
204	0.5266828071
205	0.5264847819
206	0.526328125
207	0.5261431885
208	0.5260102675
209	0.5258175998
210	0.5256186252
211	0.5255322266
212	0.5254123264
213	0.5253267415
214	0.5252501763
215	0.5251075575
216	0.5248462931
217	0.5247075399
218	0.5245973714
219	0.524352044
220	0.5240353733
221	0.5238729519
222	0.5236850315
223	0.5236424425
224	0.5235065375
225	0.5232759603
226	0.5230202908
227	0.5228608534
228	0.5227663506
229	0.5222502645
230	0.5221388753
231	0.5218280029
232	0.5216874864
233	0.5216573758
234	0.5215149604
235	0.5213615248
236	0.5211602105
237	0.5208298747
238	0.5205515883
239	0.5204220242
240	0.5202161323
241	0.5201617771
242	0.5199539524
243	0.5198727078
244	0.5197336155
245	0.5192848714
246	0.5191997274
247	0.5191110908
248	0.5190454102
249	0.5187904188
250	0.5187114122
251	0.5185272217
252	0.5183050198
253	0.51821757
254	0.5180671522
255	0.5179155477
256	0.5178380669
257	0.5177276611
258	0.5175594754
259	0.5173649089
260	0.5172494168
261	0.5170576986
262	0.5168293593
263	0.5166136
264	0.5164086914
265	0.5162976752
266	0.5161107042
267	0.5159317695
268	0.5158648003
269	0.5157288615
270	0.5155642022
271	0.5154488797
272	0.515402459
273	0.5152074517
274	0.5150295681
275	0.51500668
276	0.5148739624
277	0.5146452162
278	0.5145108032
279	0.5143026394
280	0.5141540188
281	0.5140167575
282	0.5139352417
283	0.5138004557
284	0.5135934109
285	0.5134596422
286	0.5133439467
287	0.5131660292
288	0.5130316501
289	0.5130306668
290	0.5129543728
291	0.5128170437
292	0.5126966688
293	0.5126062012
294	0.5123825751
295	0.5120187039
296	0.5119339328
297	0.5118446181
298	0.5116605632
299	0.511558431
300	0.511417711
301	0.5112864855
302	0.5111239624
303	0.5109972805
304	0.5108885362
305	0.5107910495
306	0.5106302219
307	0.5103435601
308	0.5102800157
309	0.5101209852
310	0.5099791802
311	0.5098586697
312	0.5097469415
313	0.5096054416
314	0.5095263672
315	0.5093371921
316	0.5092387899
317	0.5090820312
318	0.5089648777
319	0.5088372464
320	0.5087683784
321	0.5086030748
322	0.5085531955
323	0.5084521145
324	0.5083568997
325	0.5082444255
326	0.5081469048
327	0.507966512
328	0.5078155518
329	0.5076161024
330	0.5074400838
331	0.5073211331
332	0.5070960829
333	0.5069655355
334	0.5068285455
335	0.5067484877
336	0.5066240099
337	0.5065155029
338	0.5063472493
339	0.5061745877
340	0.5060658434
341	0.5059012519
342	0.5058312988
343	0.5057866075
344	0.50566942
345	0.5055358887
346	0.5053447469
347	0.5052295939
348	0.505175137
349	0.5051138645
350	0.5050321791
351	0.5048919678
352	0.5048301866
353	0.5047335476
354	0.5046742079
355	0.5045987278
356	0.5044757758
357	0.5044268121
358	0.5042663913
359	0.5041738892
360	0.5040660265
361	0.5039376831
362	0.5038193427
363	0.5036835734
364	0.5036014811
365	0.5034910753
366	0.5031679959
367	0.5029989963
368	0.5029201253
369	0.5028264703
370	0.502706604
371	0.5026266819
372	0.5024842326
373	0.5024021403
374	0.502310791
375	0.5020195855
376	0.5018969727
377	0.5016637845
378	0.5015870836
379	0.5014683702
380	0.5013606432
381	0.5011521403
382	0.5010523139
383	0.5009710015
384	0.5008848063
385	0.5007078722
386	0.5005199178
387	0.5003683133
388	0.5002894423
389	0.5001655748
390	0.5000780233
391	0.4999210612
392	0.4998063829
393	0.4996851942
394	0.4995594618
395	0.4994477336
396	0.4992620171
397	0.4991868422
398	0.4991442193
399	0.4990520562
400	0.4989070638
401	0.4988054742
402	0.4985733371
403	0.4984948391
404	0.4983579508
405	0.4982848782
406	0.4981785414
407	0.4980131022
408	0.4978529527
409	0.4977422418
410	0.4976445516
411	0.4974337429
412	0.4972774929
413	0.4971839735
414	0.4971406386
415	0.4969677395
416	0.4968563504
417	0.4967045763
418	0.4966121419
419	0.4965505981
420	0.4963806831
421	0.4962758382
422	0.4961490885
423	0.4960384793
424	0.4959938558
425	0.4959023709
426	0.4958673096
427	0.4957116699
428	0.4955406359
429	0.4953417291
430	0.495167372
431	0.4951629639
432	0.4949467638
433	0.4948754883
434	0.4947281901
435	0.4946115451
436	0.494489407
437	0.494295383
438	0.494170973
439	0.4940517849
440	0.4939420912
441	0.4939083862
442	0.4938443332
443	0.4936688232
444	0.4936097887
445	0.4934795464
446	0.4933636136
447	0.4932501899
448	0.493140564
449	0.4929865858
450	0.4927944268
451	0.4926367187
452	0.4925794135
453	0.492390408
454	0.492244534
455	0.4921850247
456	0.4920442708
457	0.4919324409
458	0.491817627
459	0.4917620171
460	0.4916870456
461	0.4915381877
462	0.4913689507
463	0.4912587145
464	0.4911796739
465	0.4910691664
466	0.4909628974
467	0.4907957289
468	0.4906482273
469	0.4905943468
470	0.4905021159
471	0.4904633247
472	0.4902390883
473	0.4901798503
474	0.4900476752
475	0.4899080404
476	0.4898620945
477	0.4897927178
478	0.4896506755
479	0.4893460761
480	0.4892122057
481	0.4891204834
482	0.4890009901
483	0.4888576592
484	0.4887898763
485	0.4887145318
486	0.4886897447
487	0.4885873752
488	0.48848192
489	0.4884218343
490	0.4883134969
491	0.4880921088
492	0.4880472141
493	0.4878863525
494	0.4878256565
495	0.487728814
496	0.4875406223
497	0.4873884413
498	0.4872151354
499	0.4870747545
500	0.4868866984
501	0.4867397732
502	0.4866240777
503	0.486580641
504	0.4865261841
505	0.4863010661
506	0.4861659749
507	0.4860855442
508	0.4859825982
509	0.4858781942
510	0.4856569078
511	0.4855733236
512	0.4854781765
513	0.4853433228
514	0.4852261013
515	0.4850868734
516	0.4849892171
517	0.4848047892
518	0.484715644
519	0.4845610216
520	0.4843041992
521	0.4841756863
522	0.4840942044
523	0.4840106201
524	0.4839149306
525	0.4838623047
526	0.4837183974
527	0.4837048679
528	0.4836269463
529	0.4835204061
530	0.4834333293
531	0.483334215
532	0.4832520888
533	0.483160536
534	0.4831100464
535	0.4830239529
536	0.4828845215
537	0.4828170437
538	0.4827837457
539	0.4827144029
540	0.4826216295
541	0.4825354682
542	0.4824136013
543	0.4823398166
544	0.4821282281
545	0.4820317586
546	0.4818771023
547	0.4817911784
548	0.4816494073
549	0.4815739271
550	0.4814074029
551	0.4813371785
552	0.4811585829
553	0.4810426161
554	0.4809855143
555	0.4809162055
556	0.4807398478
557	0.4806425985
558	0.4805156793
559	0.4804194132
560	0.4802874417
561	0.4802037896
562	0.4800428602
563	0.4799710761
564	0.4799132962
565	0.4798171658
566	0.4796406725
567	0.479507175
568	0.4793883599
569	0.4792824978
570	0.4792396376
571	0.4791057671
572	0.4790170627
573	0.4789569092
574	0.4787809584
575	0.4785561456
576	0.478308648
577	0.4781600613
578	0.4780102878
579	0.4779357571
580	0.4778397624
581	0.4777134196
582	0.477608846
583	0.4775505914
584	0.4775112915
585	0.4772786797
586	0.4772323269
587	0.4769607883
588	0.476871677
589	0.4766399468
590	0.4765835232
591	0.476371087
592	0.4761513943
593	0.4760801866
594	0.4759623888
595	0.4758391656
596	0.4757807075
597	0.4757014974
598	0.4756264242
599	0.4754673258
600	0.4752267456
601	0.4751024034
602	0.4749314372
603	0.4748227268
604	0.4746795654
605	0.4746186659
606	0.4745363024
607	0.4744513279
608	0.474333903
609	0.4742166477
610	0.4741267565
611	0.4740153334
612	0.4738734606
613	0.4738072035
614	0.473696323
615	0.4735256958
616	0.4733864
617	0.4733015611
618	0.4731585354
619	0.4730667453
620	0.4729091729
621	0.4728345405
622	0.4727663506
623	0.4726983982
624	0.4725698513
625	0.4724690077
626	0.4724087524
627	0.4723384603
628	0.4722088623
629	0.472062717
630	0.4719299316
631	0.4717934842
632	0.4717042372
633	0.4716473728
634	0.4715237088
635	0.4714599609
636	0.4713202582
637	0.4711725871
638	0.4709439087
639	0.4708707004
640	0.470703871
641	0.4705815633
642	0.4703966268
643	0.4703218926
644	0.4701351929
645	0.4700567288
646	0.469941881
647	0.4697715251
648	0.4696662394
649	0.4695556302
650	0.4694394599
651	0.469391649
652	0.4693334961
653	0.4692457411
654	0.4691027154
655	0.4689129639
656	0.4687270101
657	0.4685757107
658	0.4684484185
659	0.4682810805
660	0.4681470405
661	0.4680422974
662	0.4679095798
663	0.4677878486
664	0.4677282715
665	0.4676397705
666	0.4674814182
667	0.4673194038
668	0.4672336155
669	0.4671278212
670	0.4670070733
671	0.4669366794
672	0.4667669
673	0.4666274685
674	0.4665285916
675	0.4664108615
676	0.4662453545
677	0.4660770671
678	0.4658936903
679	0.465780131
680	0.4655914985
681	0.4655019124
682	0.4654715983
683	0.4653847928
684	0.4652951389
685	0.4651763577
686	0.4651012845
687	0.4649161106
688	0.4648100111
689	0.4647214084
690	0.4645939467
691	0.4644860501
692	0.4642972141
693	0.4642142741
694	0.4640241157
695	0.4638620334
696	0.4637721761
697	0.4635571967
698	0.4635153876
699	0.4633350966
700	0.4632381524
701	0.4631206936
702	0.4630383301
703	0.4629289415
704	0.4628404066
705	0.4627274577
706	0.4625663249
707	0.4624704319
708	0.4623458523
709	0.4621572537
710	0.4620000543
711	0.4618983968
712	0.4616790093
713	0.461613973
714	0.4614078098
715	0.4612604777
716	0.4612360636
717	0.4611892361
718	0.4610980903
719	0.4610194906
720	0.4608134969
721	0.4607250977
722	0.4605934313
723	0.4604882134
724	0.4603455268
725	0.460194024
726	0.460032213
727	0.4599801636
728	0.4598996311
729	0.4597435845
730	0.4596432495
731	0.4595864868
732	0.4594798109
733	0.4594311523
734	0.4593660482
735	0.4592751736
736	0.4591213311
737	0.4589892578
738	0.4588782416
739	0.4587520345
740	0.4585934448
741	0.4584162733
742	0.4583425564
743	0.4582650418
744	0.4581970554
745	0.4580737983
746	0.4579712931
747	0.4578425768
748	0.4577001275
749	0.4576078966
750	0.4573937988
751	0.4572044542
752	0.4570675998
753	0.4568665907
754	0.4567826335
755	0.4566995578
756	0.4565334405
757	0.4564888509
758	0.4563680352
759	0.4562661065
760	0.4561309136
761	0.4560334947
762	0.4559318712
763	0.4557982042
764	0.4557061089
765	0.4556011624
766	0.4555343289
767	0.4554122247
768	0.4552504476
769	0.4551291911
770	0.455051473
771	0.4550278727
772	0.4549308946
773	0.4547706095
774	0.4546903822
775	0.454664917
776	0.4545686849
777	0.4544840495
778	0.4542850071
779	0.454149509
780	0.4540918647
781	0.4539006212
782	0.4537887234
783	0.4537218899
784	0.4536121962
785	0.4534343126
786	0.4533436754
787	0.4532593791
788	0.4530880059
789	0.4530634223
790	0.4529702081
791	0.4528984918
792	0.4527999539
793	0.452753635
794	0.4526679823
795	0.4525965373
796	0.4524917603
797	0.4524043783
798	0.4523421902
799	0.4522348362
800	0.452047187
801	0.451835768
802	0.4517290582
803	0.4515829129
804	0.4514600288
805	0.451383667
806	0.4512118869
807	0.4511177911
808	0.4510510593
809	0.4509583198
810	0.4508553399
811	0.4507350328
812	0.4506552463
813	0.450455051
814	0.4502409532
815	0.4501076592
816	0.449940389
817	0.4498496501
818	0.4496952989
819	0.4495519002
820	0.4494426812
821	0.4494151815
822	0.4493303087
823	0.4492451308
824	0.4491233656
825	0.4490818956
826	0.4490357802
827	0.448978068
828	0.4489205254
829	0.4488079495
830	0.4487030707
831	0.4486600071
832	0.4485634698
833	0.4483841281
834	0.4482394748
835	0.4480989583
836	0.4479316542
837	0.4478816732
838	0.4477747938
839	0.4476888021
840	0.4475986735
841	0.447505561
842	0.4474767049
843	0.4473364258
844	0.4472062853
845	0.4471870931
846	0.44714898
847	0.4470019531
848	0.4469004991
849	0.4468035889
850	0.4466442193
851	0.4465242174
852	0.4463397217
853	0.4462014092
854	0.4460995144
855	0.4459602865
856	0.4458072917
857	0.4456529744
858	0.4455528429
859	0.4454530843
860	0.4453661431
861	0.4452843221
862	0.4451276991
863	0.4450637478
864	0.4449230618
865	0.4447790188
866	0.4446495565
867	0.4445528158
868	0.444440918
869	0.444403144
870	0.444328342
871	0.4441925049
872	0.4439660645
873	0.4438952637
874	0.4437159559
875	0.4436618381
876	0.4435307821
877	0.4434595405
878	0.4433835178
879	0.4432784017
880	0.4431142849
881	0.4430091349
882	0.4428790622
883	0.4427952745
884	0.4426827664
885	0.4425878228
886	0.4424952528
887	0.4423469374
888	0.4423196411
889	0.4421935357
890	0.4421166314
891	0.4419349501
892	0.4418400404
893	0.4417867703
894	0.4417647976
895	0.441641371
896	0.441524726
897	0.4414054701
898	0.441270718
899	0.4411433919
900	0.4410232205
901	0.4409481812
902	0.4408787706
903	0.4406835937
904	0.4406262885
905	0.4405553521
906	0.440507609
907	0.4403257921
908	0.4401980252
909	0.440052965
910	0.4398964776
911	0.4398591105
912	0.4397813246
913	0.439568278
914	0.4394107056
915	0.4393181356
916	0.4392644586
917	0.4391889784
918	0.4390812853
919	0.4389678955
920	0.4388935004
921	0.4388464355
922	0.4387400987
923	0.4385737779
924	0.4384972805
925	0.4383261108
926	0.4382288276
927	0.4380855306
928	0.4379014079
929	0.4377689616
930	0.4376419067
931	0.4375536431
932	0.4375004069
933	0.4374651421
934	0.4374104479
935	0.4372964817
936	0.4370947266
937	0.4370052762
938	0.4369086372
939	0.4367677138
940	0.4366895209
941	0.4366609361
942	0.4364915297
943	0.436335178
944	0.4362620714
945	0.4361659749
946	0.4361186049
947	0.4359986369
948	0.4358492703
949	0.4357617866
950	0.4356356133
951	0.4355367364
952	0.4353554959
953	0.4352118598
954	0.4350511678
955	0.4349481879
956	0.434816725
957	0.4346517605
958	0.4344766914
959	0.4343602837
960	0.434305013
961	0.4341375054
962	0.4340744697
963	0.4339772881
964	0.4338490465
965	0.4337191094
966	0.4336475627
967	0.4335473972
968	0.4334731038
969	0.433286811
970	0.4332233683
971	0.4331345622
972	0.4330704414
973	0.4329710219
974	0.432955797
975	0.4328430854
976	0.4327463447
977	0.4327165392
978	0.4326509603
979	0.4325588989
980	0.4325130208
981	0.4323708767
982	0.4322971259
983	0.4322293769
984	0.4322014703
985	0.4321697998
986	0.4321264309
987	0.4320496962
988	0.4319607205
989	0.4318601481
990	0.4317370605
991	0.4316552056
992	0.4315947808
993	0.431532525
994	0.4313619656
995	0.431314426
996	0.4312071058
997	0.431047465
998	0.4309730699
999	0.4308633762
